Ticker,Fund Name,Date,NAV
SPY,SPDR S&P 500 ETF,2025-03-03 00:00:00-05:00,580.30
SPY,SPDR S&P 500 ETF,2025-03-04 00:00:00-05:00,573.43
SPY,SPDR S&P 500 ETF,2025-03-05 00:00:00-05:00,579.60
SPY,SPDR S&P 500 ETF,2025-03-06 00:00:00-05:00,569.31
SPY,SPDR S&P 500 ETF,2025-03-07 00:00:00-05:00,572.50
SPY,SPDR S&P 500 ETF,2025-03-10 00:00:00-04:00,557.25
SPY,SPDR S&P 500 ETF,2025-03-11 00:00:00-04:00,552.62
SPY,SPDR S&P 500 ETF,2025-03-12 00:00:00-04:00,555.55
SPY,SPDR S&P 500 ETF,2025-03-13 00:00:00-04:00,548.15
SPY,SPDR S&P 500 ETF,2025-03-14 00:00:00-04:00,559.47
SPY,SPDR S&P 500 ETF,2025-03-17 00:00:00-04:00,563.78
SPY,SPDR S&P 500 ETF,2025-03-18 00:00:00-04:00,557.69
SPY,SPDR S&P 500 ETF,2025-03-19 00:00:00-04:00,563.76
SPY,SPDR S&P 500 ETF,2025-03-20 00:00:00-04:00,562.13
SPY,SPDR S&P 500 ETF,2025-03-21 00:00:00-04:00,562.32
SPY,SPDR S&P 500 ETF,2025-03-24 00:00:00-04:00,572.39
SPY,SPDR S&P 500 ETF,2025-03-25 00:00:00-04:00,573.76
SPY,SPDR S&P 500 ETF,2025-03-26 00:00:00-04:00,566.91
SPY,SPDR S&P 500 ETF,2025-03-27 00:00:00-04:00,565.41
SPY,SPDR S&P 500 ETF,2025-03-28 00:00:00-04:00,554.02
SPY,SPDR S&P 500 ETF,2025-03-31 00:00:00-04:00,557.74
SPY,SPDR S&P 500 ETF,2025-04-01 00:00:00-04:00,559.32
SPY,SPDR S&P 500 ETF,2025-04-02 00:00:00-04:00,562.86
SPY,SPDR S&P 500 ETF,2025-04-03 00:00:00-04:00,535.12
SPY,SPDR S&P 500 ETF,2025-04-04 00:00:00-04:00,503.79
SPY,SPDR S&P 500 ETF,2025-04-07 00:00:00-04:00,502.89
SPY,SPDR S&P 500 ETF,2025-04-08 00:00:00-04:00,495.02
SPY,SPDR S&P 500 ETF,2025-04-09 00:00:00-04:00,547.00
SPY,SPDR S&P 500 ETF,2025-04-10 00:00:00-04:00,523.03
SPY,SPDR S&P 500 ETF,2025-04-11 00:00:00-04:00,532.37
SPY,SPDR S&P 500 ETF,2025-04-14 00:00:00-04:00,537.53
SPY,SPDR S&P 500 ETF,2025-04-15 00:00:00-04:00,536.03
SPY,SPDR S&P 500 ETF,2025-04-16 00:00:00-04:00,524.11
SPY,SPDR S&P 500 ETF,2025-04-17 00:00:00-04:00,524.86
SPY,SPDR S&P 500 ETF,2025-04-21 00:00:00-04:00,512.37
SPY,SPDR S&P 500 ETF,2025-04-22 00:00:00-04:00,525.70
SPY,SPDR S&P 500 ETF,2025-04-23 00:00:00-04:00,533.84
SPY,SPDR S&P 500 ETF,2025-04-24 00:00:00-04:00,545.08
SPY,SPDR S&P 500 ETF,2025-04-25 00:00:00-04:00,549.02
SPY,SPDR S&P 500 ETF,2025-04-28 00:00:00-04:00,549.23
SPY,SPDR S&P 500 ETF,2025-04-29 00:00:00-04:00,552.69
SPY,SPDR S&P 500 ETF,2025-04-30 00:00:00-04:00,552.91
SPY,SPDR S&P 500 ETF,2025-05-01 00:00:00-04:00,556.82
SPY,SPDR S&P 500 ETF,2025-05-02 00:00:00-04:00,565.09
SPY,SPDR S&P 500 ETF,2025-05-05 00:00:00-04:00,561.85
SPY,SPDR S&P 500 ETF,2025-05-06 00:00:00-04:00,557.15
SPY,SPDR S&P 500 ETF,2025-05-07 00:00:00-04:00,559.50
SPY,SPDR S&P 500 ETF,2025-05-08 00:00:00-04:00,563.39
SPY,SPDR S&P 500 ETF,2025-05-09 00:00:00-04:00,562.68
SPY,SPDR S&P 500 ETF,2025-05-12 00:00:00-04:00,581.27
SPY,SPDR S&P 500 ETF,2025-05-13 00:00:00-04:00,585.11
SPY,SPDR S&P 500 ETF,2025-05-14 00:00:00-04:00,585.86
SPY,SPDR S&P 500 ETF,2025-05-15 00:00:00-04:00,588.72
SPY,SPDR S&P 500 ETF,2025-05-16 00:00:00-04:00,592.45
SPY,SPDR S&P 500 ETF,2025-05-19 00:00:00-04:00,593.10
SPY,SPDR S&P 500 ETF,2025-05-20 00:00:00-04:00,591.10
SPY,SPDR S&P 500 ETF,2025-05-21 00:00:00-04:00,581.14
SPY,SPDR S&P 500 ETF,2025-05-22 00:00:00-04:00,581.37
SPY,SPDR S&P 500 ETF,2025-05-23 00:00:00-04:00,577.40
SPY,SPDR S&P 500 ETF,2025-05-27 00:00:00-04:00,589.41
SPY,SPDR S&P 500 ETF,2025-05-28 00:00:00-04:00,586.00
SPY,SPDR S&P 500 ETF,2025-05-29 00:00:00-04:00,588.31
SPY,SPDR S&P 500 ETF,2025-05-30 00:00:00-04:00,587.65
SPY,SPDR S&P 500 ETF,2025-06-02 00:00:00-04:00,590.96
SPY,SPDR S&P 500 ETF,2025-06-03 00:00:00-04:00,594.33
SPY,SPDR S&P 500 ETF,2025-06-04 00:00:00-04:00,594.17
SPY,SPDR S&P 500 ETF,2025-06-05 00:00:00-04:00,591.30
SPY,SPDR S&P 500 ETF,2025-06-06 00:00:00-04:00,597.37
SPY,SPDR S&P 500 ETF,2025-06-09 00:00:00-04:00,597.91
SPY,SPDR S&P 500 ETF,2025-06-10 00:00:00-04:00,601.30
SPY,SPDR S&P 500 ETF,2025-06-11 00:00:00-04:00,599.59
SPY,SPDR S&P 500 ETF,2025-06-12 00:00:00-04:00,601.97
